t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
13,0.1543,0.251,0.105,127.11248915420391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.11248915420391,118.02947945928662,1.0799762126498886,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134.06656808625328,118.02947945928662,0.0,0.0,0.0,0.0,0.0,127.11248915420391,0.0,0.0,0.0,0.0,127.11248915420391,118.02947945928662,0.0,0.0
14,0.1543,0.251,0.105,143.92225309423955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.07774690576045,1.0,0.0,0.0,-30.07774690576045,164.14431499201373,162.46498599439482,0.0,0.0,0.0,0.0,30.07774690576045,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
15,0.1543,0.251,0.105,153.96949988320094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,20.03050011679906,1.0,0.0,0.0,-20.03050011679906,184.1748151088128,162.46498599439482,0.0,0.0,0.0,0.0,20.03050011679906,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
16,0.1543,0.251,0.105,163.93908361154536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,151.45672687186953,141.10062387881487,1.0753157166904255,1.0,0.0,0.0,0.0,12.482356739675822,1.0,12.482356739675822,171.69245836913697,141.10062387881487,0.0,0.0,0.0,0.0,0.0,163.93908361154536,0.0,0.0,0.0,0.0,151.45672687186953,141.10062387881487,0.0,12.482356739675822
17,0.1543,0.251,0.105,172.6373879152593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.6373879152593,161.17363234596925,1.0712608604095963,1.0,0.0,0.0,1.0,0.0,0.0,0.0,171.69245836913697,161.17363234596925,0.0,0.0,0.0,0.0,0.0,172.6373879152593,0.0,0.0,0.0,0.0,172.6373879152593,161.17363234596925,0.0,0.0
18,0.1543,0.251,0.105,189.7709359695811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,15.770935969581103,1.0,15.770935969581103,155.92152239955587,162.46498599439482,0.0,0.0,0.0,0.0,0.0,189.7709359695811,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,15.770935969581103
19,0.1543,0.251,0.105,178.15899549410722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.1589954941072165,1.0,4.1589954941072165,151.76252690544865,162.46498599439482,0.0,0.0,0.0,0.0,0.0,178.15899549410722,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,4.1589954941072165
20,0.1543,0.251,0.105,159.28416533270453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,14.715834667295468,1.0,0.0,0.0,-14.715834667295468,166.47836157274412,162.46498599439482,0.0,0.0,0.0,0.0,14.715834667295468,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
21,0.1543,0.251,0.105,111.5328007805781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.5328007805781,103.26453817635073,1.082958810649344,1.0,0.0,0.0,1.0,0.0,0.0,0.0,166.47836157274412,103.26453817635073,0.0,0.0,0.0,0.0,0.0,111.5328007805781,0.0,0.0,0.0,0.0,111.5328007805781,103.26453817635073,0.0,0.0
22,0.1543,0.251,0.105,122.3487884171389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,51.651211582861094,1.0,0.0,0.0,-51.651211582861094,218.12957315560521,162.46498599439482,0.0,0.0,0.0,0.0,51.651211582861094,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
