t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.942346880309472,1.0,0.0,-0.0,-23.942346880309458,187.31511652451383,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,23.942346880309472,75.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.30626746840359,1.0,0.0,-0.0,-21.306267468403604,208.62138399291743,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,21.30626746840359,75.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64941103446128,1.0,0.0,-0.0,-18.64941103446128,227.2707950273787,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,18.64941103446128,75.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.629999999996814,0.32000000000699225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.417244757180747,1.0,0.0,0.0,-16.417244757180754,243.68803978455946,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,16.417244757180747,75.0
18,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.502203852587051,1.0,0.0,-0.0,-4.502203852587051,248.19024363714652,-37.21858864027854,0.0,37.21858864027854,117.03958691910523,0.0,4.502203852587051,68.0
19,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24275919179336,1.0,0.0,-0.0,-16.24275919179337,264.4330028289399,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,16.24275919179336,75.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.282294546516255,1.0,0.0,-0.0,-23.282294546516255,287.71529737545626,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,23.282294546516255,75.0
21,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.60641572665513,1.0,35.606415726655115,252.10888164880114,0.0,0.0,0.0,0.0,0.0,0.0,35.60641572665511
22,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.43372389253492,1.0,38.433723892534914,213.67515775626623,0.0,0.0,0.0,0.0,0.0,0.0,38.43372389253476
23,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.40641239790825,1.0,0.0,0.0,-30.406412397909264,244.0815701541755,-37.21858864027854,0.0,37.21858864027854,117.03958691910523,0.0,30.40641239790825,68.0
24,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51656556195756,1.0,0.0,0.0,-36.51656556195758,280.5981357161331,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,36.51656556195756,75.0
