t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.07774690576045,1.0,0.0,0.0,-30.07774690576045,470.8960683539648,0.0,0.0,0.0,162.46498599439482,0.0,30.07774690576045,174.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,20.03050011679906,1.0,0.0,0.0,-20.03050011679906,490.92656847076387,0.0,0.0,0.0,162.46498599439482,0.0,20.03050011679906,174.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,10.06091638844876,1.0,0.0,0.0,-10.06091638844876,500.9874848592126,0.0,0.0,0.0,162.46498599438928,0.0,10.06091638844876,174.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,1.3626120847348204,1.0,0.0,0.0,-1.3626120847348204,502.3500969439474,0.0,0.0,0.0,162.46498599438928,0.0,1.3626120847348204,174.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,15.770935969581103,1.0,15.770935969581103,486.5791609743663,0.0,0.0,0.0,162.46498599439482,0.0,0.0,189.7709359695811
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.1589954941072165,1.0,4.1589954941072165,482.4201654802591,0.0,0.0,0.0,162.46498599439482,0.0,0.0,178.15899549410722
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,14.715834667289585,1.0,0.0,0.0,-14.715834667289585,497.13600014754866,0.0,0.0,0.0,162.46498599438928,0.0,14.715834667289585,174.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,62.4671992194219,1.0,0.0,0.0,-62.4671992194219,559.6031993669706,0.0,0.0,0.0,162.46498599439482,0.0,62.4671992194219,174.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,51.651211582861094,1.0,0.0,0.0,-51.651211582861094,611.2544109498317,0.0,0.0,0.0,162.46498599439482,0.0,51.651211582861094,174.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,52.558274474078644,1.0,0.0,0.0,-52.558274474078644,663.8126854239104,0.0,0.0,0.0,162.46498599439482,0.0,52.558274474078644,174.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,48.21594246839088,1.0,0.0,0.0,-48.21594246839088,712.0286278923012,0.0,0.0,0.0,162.46498599439482,0.0,48.21594246839088,174.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,37.69926869119888,1.0,0.0,0.0,-37.69926869119888,749.7278965835001,0.0,0.0,0.0,162.46498599439482,0.0,37.69926869119888,174.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,12.206815417535864,1.0,0.0,0.0,-12.206815417535864,761.9347120010359,0.0,0.0,0.0,162.46498599438928,0.0,12.206815417535864,174.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,133.945532128739,1.0,133.945532128739,627.989179872297,0.0,0.0,0.0,162.46498599439482,0.0,0.0,307.945532128739
28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.49929825877754,119.34376473307513,1.0797107199159048,1.0,0.0,0.0,0.0,95.8387938766815,1.0,95.8387938766815,532.1503859956155,0.0,0.0,0.0,119.34376473307513,0.0,0.0,224.33809213545905
