Scenario:,ObjectiveValue
Scenario1,4386.092670580927
Scenario2,4386.092670580927
Scenario3,4386.092670580927
Scenario4,4386.092670580927
Scenario5,4386.092670580927
Scenario6,4386.092670580927
Scenario7,4386.092670580927
Scenario8,4386.092670580927
Scenario9,4386.092670580927
Scenario10,4386.092670580927
