Scenario:,ObjectiveValue
Scenario1,34969.038329558214
Scenario2,35106.61618728077
Scenario3,34990.760744805564
Scenario4,34559.435049126456
Scenario5,34852.06070807582
Scenario6,35146.29367574818
Scenario7,35006.27438236321
Scenario8,34812.02570408102
Scenario9,35116.764058444176
Scenario10,34846.989186190825
