Scenario:,ObjectiveValue
Scenario1,-339.1135401599541
Scenario2,-340.4214369344837
Scenario3,-340.044777661971
Scenario4,-339.4637023308587
Scenario5,-339.8713947030847
Scenario6,-340.25669753762844
Scenario7,-340.78727151318225
Scenario8,-339.82520116002775
Scenario9,-339.3413568243161
Scenario10,-340.05218733869253
