Scenario:,ObjectiveValue
Scenario1,-196.90439571001792
Scenario2,-196.1270623676017
Scenario3,-195.6772625583144
Scenario4,-196.71349682753473
Scenario5,-195.61624854225045
Scenario6,-195.86838398789567
Scenario7,-196.31387088388163
Scenario8,-195.23029698843757
Scenario9,-195.9024702928374
Scenario10,-195.6987593933266
