Scenario:,ObjectiveValue
Scenario1,-296.5768163227874
Scenario2,-296.50249249135004
Scenario3,-295.81814399728154
Scenario4,-295.65763779124336
Scenario5,-295.9556254994654
Scenario6,-296.76598523170753
Scenario7,-294.736692987626
Scenario8,-296.0089463175659
Scenario9,-295.57715541690055
Scenario10,-295.8816503357336
