Scenario:,ObjectiveValue
Scenario1,-342.6220491591524
Scenario2,-342.15738911182774
Scenario3,-341.77139576037
Scenario4,-342.92628409315313
Scenario5,-342.6179573782088
Scenario6,-341.753916362823
Scenario7,-342.9954578750948
Scenario8,-343.00757375176045
Scenario9,-342.50982230405805
Scenario10,-342.74722347684184
