Scenario:,ObjectiveValue
Scenario1,-157.94702987808355
Scenario2,-156.91617148997273
Scenario3,-156.5871368341702
Scenario4,-156.6256103883254
Scenario5,-157.56541013715702
Scenario6,-156.20612974871054
Scenario7,-156.04917639447325
Scenario8,-157.67065255903253
Scenario9,-156.65975952617595
Scenario10,-157.54461361513594
