Scenario:,ObjectiveValue
Scenario1,-141.67037631822302
Scenario2,-140.48945443573132
Scenario3,-141.36233452056595
Scenario4,-140.0481533633227
Scenario5,-140.40237958566476
Scenario6,-140.78740068896303
Scenario7,-140.9713084060803
Scenario8,-141.41988702845262
Scenario9,-140.98278040452723
Scenario10,-139.93843087055618
