Scenario:,ObjectiveValue
Scenario1,-346.30102638014796
Scenario2,-346.5797535271668
Scenario3,-345.8330513230335
Scenario4,-346.3393160997537
Scenario5,-344.9823560300134
Scenario6,-347.0393884491608
Scenario7,-345.4632520460484
Scenario8,-346.4365015120625
Scenario9,-346.80775082126127
Scenario10,-346.3515542710303
