Scenario:,ObjectiveValue
Scenario1,-152.94952851066506
Scenario2,-154.64838337216506
Scenario3,-152.97115210162477
Scenario4,-154.9815355523253
Scenario5,-152.86612353280273
Scenario6,-154.43712649282637
Scenario7,-153.77518350817942
Scenario8,-154.14053513124085
Scenario9,-154.16977693050117
Scenario10,-153.51465113230864
