Scenario:,ObjectiveValue
Scenario1,-296.57681632278593
Scenario2,-296.50249249134856
Scenario3,-295.81814399728006
Scenario4,-295.6576377912419
Scenario5,-295.9556254994639
Scenario6,-296.76598523170605
Scenario7,-294.7366929876245
Scenario8,-296.00894631756444
Scenario9,-295.5771554168991
Scenario10,-295.8816503357321
