Scenario:,ObjectiveValue
Scenario1,-143.3300944529637
Scenario2,-144.55337456633967
Scenario3,-143.70403216300755
Scenario4,-144.68899948188803
Scenario5,-145.9488232649479
Scenario6,-145.2985651241542
Scenario7,-144.0116319523483
Scenario8,-143.78064079623113
Scenario9,-143.23755052604608
Scenario10,-144.47065143794393
