Scenario:,ObjectiveValue
Scenario1,-203.4817892787323
Scenario2,-202.82806545912428
Scenario3,-202.96328707612926
Scenario4,-203.54594316091485
Scenario5,-204.01359098406766
Scenario6,-204.006930687173
Scenario7,-202.90534379078326
Scenario8,-202.79168792571636
Scenario9,-202.68357963069903
Scenario10,-202.89259171211089
