Scenario:,ObjectiveValue
Scenario1,-326.96358789500675
Scenario2,-327.0885190203392
Scenario3,-325.99966243022124
Scenario4,-327.32186756283795
Scenario5,-326.8960566328911
Scenario6,-327.028492522715
Scenario7,-326.7395470628701
Scenario8,-326.9333354364101
Scenario9,-326.96326190348395
Scenario10,-326.89584587872884
