Scenario:,ObjectiveValue
Scenario1,-364.06365929059916
Scenario2,-363.89736236956367
Scenario3,-363.9469306577043
Scenario4,-364.84749071594973
Scenario5,-364.4670131409553
Scenario6,-364.72219633115094
Scenario7,-363.9845982805513
Scenario8,-364.8783002666177
Scenario9,-365.0613336215378
Scenario10,-364.4363208413289
