Scenario:,ObjectiveValue
Scenario1,-335.7173728634262
Scenario2,-335.5510759423907
Scenario3,-335.6006442305313
Scenario4,-336.50120428877676
Scenario5,-336.12072671378235
Scenario6,-336.37590990397797
Scenario7,-335.63831185337835
Scenario8,-336.53201383944474
Scenario9,-336.71504719436484
Scenario10,-336.0900344141559
