Scenario:,ObjectiveValue
Scenario1,-298.60892458995437
Scenario2,-297.6217612993606
Scenario3,-298.6295501544757
Scenario4,-300.02008234898415
Scenario5,-298.60122801611374
Scenario6,-300.42711050088224
Scenario7,-298.4613600727794
Scenario8,-299.0691991920835
Scenario9,-298.9911813136511
Scenario10,-298.83873571134694
