Scenario:,ObjectiveValue
Scenario1,-196.06375897613506
Scenario2,-195.41003515652704
Scenario3,-195.54525677353203
Scenario4,-196.12791285831761
Scenario5,-196.59556068147043
Scenario6,-196.58890038457577
Scenario7,-195.48731348818603
Scenario8,-195.37365762311913
Scenario9,-195.2655493281018
Scenario10,-195.47456140951365
