Scenario:,ObjectiveValue
Scenario1,-335.77313381975745
Scenario2,-335.30847377243276
Scenario3,-334.92248042097503
Scenario4,-336.07736875375815
Scenario5,-335.76904203881384
Scenario6,-334.90500102342804
Scenario7,-336.14654253569984
Scenario8,-336.15865841236547
Scenario9,-335.66090696466307
Scenario10,-335.89830813744686
