Scenario:,ObjectiveValue
Scenario1,-96.61071862249638
Scenario2,-96.21725700481036
Scenario3,-95.53738928452636
Scenario4,-97.58007608694837
Scenario5,-97.62402333046192
Scenario6,-97.865502719551
Scenario7,-97.11088387211419
Scenario8,-96.50727895595291
Scenario9,-96.17997758942904
Scenario10,-97.79627602105998
