Scenario:,ObjectiveValue
Scenario1,-147.5541372900214
Scenario2,-148.77741740339738
Scenario3,-147.9280749901561
Scenario4,-148.91304231894574
Scenario5,-150.1728661020056
Scenario6,-149.52260796121192
Scenario7,-148.235674789406
Scenario8,-148.00468363328883
Scenario9,-147.4615933631038
Scenario10,-148.69469426509247
