Scenario:,ObjectiveValue
Scenario1,-152.9854384883286
Scenario2,-154.684293298569
Scenario3,-153.00706207569255
Scenario4,-155.0174455551246
Scenario5,-152.90203349700016
Scenario6,-154.47303648687665
Scenario7,-153.81109336324513
Scenario8,-154.17644512237482
Scenario9,-154.2056867835893
Scenario10,-153.55056109629288
