Scenario:,ObjectiveValue
Scenario1,-346.02468440970694
Scenario2,-346.3034115567258
Scenario3,-345.55670935259246
Scenario4,-346.0629741293127
Scenario5,-344.7060140595724
Scenario6,-346.7630464787198
Scenario7,-345.1869100756074
Scenario8,-346.1601595515306
Scenario9,-346.53140885082024
Scenario10,-346.07521230058927
