t,Scenario8.GAS_PRICE,Scenario8.POWER_PRICE,Scenario8.HEAT_PRICE,Scenario8.heat_demand,Scenario8.heat_demand_scenario,Scenario8.delta_heat_demand,Scenario8.probability,Scenario8.chp1.bin,Scenario8.chp1.power,Scenario8.chp1.gas,Scenario8.chp1.heat,Scenario8.chp1.eta_th,Scenario8.chp1.eta_el,Scenario8.chp1.y1,Scenario8.chp1.y2,Scenario8.boiler1.bin,Scenario8.boiler1.heat,Scenario8.boiler1.gas,Scenario8.boiler1.eta_th,Scenario8.boiler1.y1,Scenario8.boiler1.y2,Scenario8.heat_storage1.heat_charge,Scenario8.heat_storage1.bin_charge,Scenario8.heat_storage1.heat_discharge,Scenario8.heat_storage1.bin_discharge,Scenario8.heat_storage1.heat_balance,Scenario8.heat_storage1.heat_capacity,Scenario8.heat_storage1.x,Scenario8.ngas_grid.gas_balance,Scenario8.power_grid.power_balance,Scenario8.power_grid.power_supply,Scenario8.power_grid.power_feedin,Scenario8.heat_grid.heat_balance,Scenario8.heat_grid.heat_supply,Scenario8.heat_grid.heat_feedin,Scenario8.arc03_expanded.heat,Scenario8.arc04_expanded.heat,Scenario8.arc05_expanded.gas,Scenario8.arc06_expanded.gas
1,0.1543,0.251,0.105,86.89020582132288,52.7139022367997,-34.17630358452318,0.0001725640801242393,1.0,26.372168284790135,93.85113268603627,58.0,0.6179999999651697,0.2810000000106162,1.0,0.0,1.0,86.89020582132288,79.91063924673442,1.0876764245492014,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,58.0,-34.17630358452318,173.76177193277067,-26.372168284790135,0.0,26.372168284790135,0.0,86.89020582132288,86.89020582132288,0.0,86.89020582132288,79.91063924673442,93.85113268603627
2,0.1543,0.251,0.105,102.67012913651094,27.640883381974547,-75.02924575453639,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.67012913651094,94.86534409130634,1.0846554932839063,1.0,0.0,0.0,1.0,0.0,1.0,0.0,58.0,-75.02924575453639,94.86534409130634,0.0,0.0,0.0,0.0,102.67012913651094,102.67012913651094,0.0,102.67012913651094,94.86534409130634,0.0
3,0.1543,0.251,0.105,197.10818009752964,235.73627155394212,38.62809145641248,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,23.10818009752964,1.0,23.10818009752964,34.89181990246998,38.62809145641248,162.46498599439482,0.0,0.0,0.0,0.0,197.10818009752964,197.10818009752964,23.10818009752964,174.0,162.46498599439482,0.0
4,0.1543,0.251,0.105,131.41110425250923,150.9598414015671,19.54873714905787,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.41110425250923,122.10329647040626,1.079153279579267,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,19.54873714905787,122.10329647040626,0.0,0.0,0.0,0.0,131.41110425250923,131.41110425250923,0.0,131.41110425250923,122.10329647040626,0.0
5,0.1543,0.251,0.105,134.36278677058627,87.78217351442929,-46.58061325615698,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.36278677058627,124.90061937059039,1.0785882052233289,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-46.58061325615698,124.90061937059039,0.0,0.0,0.0,0.0,134.36278677058627,134.36278677058627,0.0,134.36278677058627,124.90061937059039,0.0
6,0.1543,0.251,0.105,133.35488413447985,156.4545691895976,23.09968505511776,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.35488413447985,123.94542547427214,1.0787811595568177,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,23.09968505511776,123.94542547427214,0.0,0.0,0.0,0.0,133.35488413447985,133.35488413447985,0.0,133.35488413447985,123.94542547427214,0.0
7,0.1543,0.251,0.105,148.67082790766605,161.5945748022133,12.923746894547236,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148.67082790766605,138.46041480401144,1.075849053203843,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,12.923746894547236,138.46041480401144,0.0,0.0,0.0,0.0,148.67082790766605,148.67082790766605,0.0,148.67082790766605,138.46041480401144,0.0
8,0.1543,0.251,0.105,155.76612945938308,146.80094425499772,-8.965185204385364,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.76612945938308,145.1846642423489,1.0744907184473205,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-8.965185204385364,145.1846642423489,0.0,0.0,0.0,0.0,155.76612945938308,155.76612945938308,0.0,155.76612945938308,145.1846642423489,0.0
9,0.1543,0.251,0.105,149.41335246313022,120.22053851681103,-29.19281394631919,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.41335246313022,139.16410869054167,1.0757069032326392,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-29.19281394631919,139.16410869054167,0.0,0.0,0.0,0.0,149.41335246313022,149.41335246313022,0.0,149.41335246313022,139.16410869054167,0.0
10,0.1543,0.251,0.105,132.52799498318225,180.9348238468075,48.406828863625236,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.52799498318225,123.16177887790802,1.0789394604078544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,48.406828863625236,123.16177887790802,0.0,0.0,0.0,0.0,132.52799498318225,132.52799498318225,0.0,132.52799498318225,123.16177887790802,0.0
11,0.1543,0.251,0.105,128.1881334012233,83.8455374443859,-44.3425959568374,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.1881334012233,119.04887238728989,1.079770289764761,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-44.3425959568374,119.04887238728989,0.0,0.0,0.0,0.0,128.1881334012233,128.1881334012233,0.0,128.1881334012233,119.04887238728989,0.0
12,0.1543,0.251,0.105,123.8851574175104,112.07647776081856,-11.808679656691837,0.0001725640801242393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.8851574175104,114.9709225453048,1.080594057689571,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-11.808679656691837,114.9709225453048,0.0,0.0,0.0,0.0,123.8851574175104,123.8851574175104,0.0,123.8851574175104,114.9709225453048,0.0
