t,Scenario9.GAS_PRICE,Scenario9.POWER_PRICE,Scenario9.HEAT_PRICE,Scenario9.heat_demand,Scenario9.heat_demand_scenario,Scenario9.delta_heat_demand,Scenario9.probability,Scenario9.chp1.bin,Scenario9.chp1.power,Scenario9.chp1.gas,Scenario9.chp1.heat,Scenario9.chp1.eta_th,Scenario9.chp1.eta_el,Scenario9.chp1.y1,Scenario9.chp1.y2,Scenario9.boiler1.bin,Scenario9.boiler1.heat,Scenario9.boiler1.gas,Scenario9.boiler1.eta_th,Scenario9.boiler1.y1,Scenario9.boiler1.y2,Scenario9.heat_storage1.heat_charge,Scenario9.heat_storage1.bin_charge,Scenario9.heat_storage1.heat_discharge,Scenario9.heat_storage1.bin_discharge,Scenario9.heat_storage1.heat_balance,Scenario9.heat_storage1.heat_capacity,Scenario9.heat_storage1.x,Scenario9.ngas_grid.gas_balance,Scenario9.power_grid.power_balance,Scenario9.power_grid.power_supply,Scenario9.power_grid.power_feedin,Scenario9.heat_grid.heat_balance,Scenario9.heat_grid.heat_supply,Scenario9.heat_grid.heat_feedin,Scenario9.arc03_expanded.heat,Scenario9.arc04_expanded.heat,Scenario9.arc05_expanded.gas,Scenario9.arc06_expanded.gas
1,0.1543,0.251,0.105,86.89020582132288,52.7139022367997,-34.17630358452318,0.9844814751439472,1.0,26.372168284790135,93.85113268603627,58.0,0.6179999999651697,0.2810000000106162,1.0,0.0,1.0,86.89020582132288,79.91063924673442,1.0876764245492014,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,58.0,-34.17630358452318,173.76177193277067,-26.372168284790135,0.0,26.372168284790135,0.0,86.89020582132288,86.89020582132288,0.0,86.89020582132288,79.91063924673442,93.85113268603627
2,0.1543,0.251,0.105,102.67012913651094,93.95242719664112,-8.717701939869812,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.67012913651094,94.86534409130634,1.0846554932839063,1.0,0.0,0.0,1.0,0.0,1.0,0.0,58.0,-8.717701939869812,94.86534409130634,0.0,0.0,0.0,0.0,102.67012913651094,102.67012913651094,0.0,102.67012913651094,94.86534409130634,0.0
3,0.1543,0.251,0.105,197.10818009752964,235.73627155394212,38.62809145641248,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,23.10818009752964,1.0,23.10818009752964,34.89181990246998,38.62809145641248,162.46498599439482,0.0,0.0,0.0,0.0,197.10818009752964,197.10818009752964,23.10818009752964,174.0,162.46498599439482,0.0
4,0.1543,0.251,0.105,131.41110425250923,89.42365604590086,-41.98744820660838,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.41110425250923,122.10329647040626,1.079153279579267,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-41.98744820660838,122.10329647040626,0.0,0.0,0.0,0.0,131.41110425250923,131.41110425250923,0.0,131.41110425250923,122.10329647040626,0.0
5,0.1543,0.251,0.105,134.36278677058627,164.64603863979465,30.283251869208385,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.36278677058627,124.90061937059039,1.0785882052233289,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,30.283251869208385,124.90061937059039,0.0,0.0,0.0,0.0,134.36278677058627,134.36278677058627,0.0,134.36278677058627,124.90061937059039,0.0
6,0.1543,0.251,0.105,133.35488413447985,103.95450937665474,-29.400374757825105,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.35488413447985,123.94542547427214,1.0787811595568177,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-29.400374757825105,123.94542547427214,0.0,0.0,0.0,0.0,133.35488413447985,133.35488413447985,0.0,133.35488413447985,123.94542547427214,0.0
7,0.1543,0.251,0.105,148.67082790766605,112.41603177991018,-36.25479612775587,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148.67082790766605,138.46041480401144,1.075849053203843,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-36.25479612775587,138.46041480401144,0.0,0.0,0.0,0.0,148.67082790766605,148.67082790766605,0.0,148.67082790766605,138.46041480401144,0.0
8,0.1543,0.251,0.105,155.76612945938308,146.80094425499772,-8.965185204385364,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.76612945938308,145.1846642423489,1.0744907184473205,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-8.965185204385364,145.1846642423489,0.0,0.0,0.0,0.0,155.76612945938308,155.76612945938308,0.0,155.76612945938308,145.1846642423489,0.0
9,0.1543,0.251,0.105,149.41335246313022,145.1586223316775,-4.254730131452732,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.41335246313022,139.16410869054167,1.0757069032326392,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-4.254730131452732,139.16410869054167,0.0,0.0,0.0,0.0,149.41335246313022,149.41335246313022,0.0,149.41335246313022,139.16410869054167,0.0
10,0.1543,0.251,0.105,132.52799498318225,93.55047952641544,-38.97751545676681,0.9844814751439472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.52799498318225,123.16177887790802,1.0789394604078544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,-38.97751545676681,123.16177887790802,0.0,0.0,0.0,0.0,132.52799498318225,132.52799498318225,0.0,132.52799498318225,123.16177887790802,0.0
