t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch,Scenario1.heat_storage1.dispatch_delta_heat_charge,Scenario1.heat_storage1.dispatch_delta_heat_discharge,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.gas,Scenario1.arc06_expanded.gas
11,0.1543,0.251,0.105,51.275253360489316,51.275253360489316,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603695,58.0,0.617999999965168,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,51.275253360489316,1.0,-6.724746639510741,37.85450862899092,0.0,0.0,0.0,37.85450862899092,93.85113268603695,-26.372168284788795,0.0,26.372168284788795,0.0,51.275253360489316,51.275253360489316,0.0,51.275253360489316,0.0,0.0,93.85113268603695
12,0.1543,0.251,0.105,49.55406296700416,49.55406296700416,0.0,0.03415418949006244,1.0,26.37216828478878,93.85113268603698,58.0,0.617999999965168,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,49.55406296700416,1.0,-8.445937032995907,46.30044566198683,0.0,0.0,0.0,46.30044566198683,93.85113268603698,-26.37216828478878,0.0,26.37216828478878,0.0,49.55406296700416,49.55406296700416,0.0,49.55406296700416,0.0,0.0,93.85113268603698
13,0.1543,0.251,0.105,48.098443142420464,48.098443142420464,0.0,0.03415418949006244,1.0,26.372168284790284,93.8511326860371,58.0,0.6179999999651683,0.2809999999936671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,48.098443142420464,1.0,-9.90155685757955,56.20200251956638,0.0,0.0,0.0,56.20200251956638,93.8511326860371,-26.372168284790284,0.0,26.372168284790284,0.0,48.098443142420464,48.098443142420464,0.0,48.098443142420464,0.0,0.0,93.8511326860371
14,0.1543,0.251,0.105,51.69024271601968,51.69024271601968,0.0,0.03415418949006244,1.0,26.372168284788778,93.85113268603698,58.0,0.617999999965168,0.2809999999936669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,51.69024271601968,1.0,-6.309757283980389,62.51175980354676,0.0,0.0,0.0,62.51175980354676,93.85113268603698,-26.372168284788778,0.0,26.372168284788778,0.0,51.69024271601968,51.69024271601968,0.0,51.69024271601968,0.0,0.0,93.85113268603698
15,0.1543,0.251,0.105,57.93911921665968,57.93911921665968,0.0,0.03415418949006244,1.0,26.372168284788682,93.85113268603703,58.0,0.6179999999651682,0.28099999999366704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,57.93911921665968,1.0,-0.0608807833402949,62.57264058688705,0.0,0.0,0.0,62.57264058688705,93.85113268603703,-26.372168284788682,0.0,26.372168284788682,0.0,57.93911921665968,57.93911921665968,0.0,57.93911921665968,0.0,0.0,93.85113268603703
16,0.1543,0.251,0.105,66.62661431513905,66.62661431513905,0.0,0.03415418949006244,1.0,26.372168284788795,93.85113268603698,58.0,0.617999999965168,0.2809999999936669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,66.62661431513905,1.0,8.62661431513898,53.94602627174807,0.0,0.0,0.0,53.94602627174807,93.85113268603698,-26.372168284788795,0.0,26.372168284788795,0.0,66.62661431513905,66.62661431513905,0.0,66.62661431513905,0.0,0.0,93.85113268603698
17,0.1543,0.251,0.105,67.86376185679535,67.86376185679535,0.0,0.03415418949006244,1.0,26.372168284788682,93.85113268603703,58.0,0.6179999999651684,0.28099999999366704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,67.86376185679535,1.0,9.863761856795378,44.08226441495269,0.0,0.0,0.0,44.08226441495269,93.85113268603703,-26.372168284788682,0.0,26.372168284788682,0.0,67.86376185679535,67.86376185679535,0.0,67.86376185679535,0.0,0.0,93.85113268603703
18,0.1543,0.251,0.105,72.39286954940329,72.39286954940329,0.0,0.03415418949006244,1.0,26.372168284788682,93.85113268603703,58.0,0.6179999999651682,0.28099999999366704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,72.39286954940329,1.0,14.392869549403315,29.689394865549374,0.0,0.0,0.0,29.689394865549374,93.85113268603703,-26.372168284788682,0.0,26.372168284788682,0.0,72.39286954940329,72.39286954940329,0.0,72.39286954940329,0.0,0.0,93.85113268603703
19,0.1543,0.251,0.105,63.891661571608346,63.891661571608346,0.0,0.03415418949006244,1.0,26.372168284788767,93.85113268603695,58.0,0.6179999999651681,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,63.891661571608346,1.0,5.8916615716082745,23.797733293941107,0.0,0.0,0.0,23.797733293941107,93.85113268603695,-26.372168284788767,0.0,26.372168284788767,0.0,63.891661571608346,63.891661571608346,0.0,63.891661571608346,0.0,0.0,93.85113268603695
20,0.1543,0.251,0.105,56.468741375278896,56.468741375278896,0.0,0.03415418949006244,1.0,26.372168284788792,93.85113268603695,58.0,0.6179999999651681,0.28099999999366687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,56.468741375278896,1.0,-1.5312586247211755,25.328991918662283,0.0,0.0,0.0,25.328991918662283,93.85113268603695,-26.372168284788792,0.0,26.372168284788792,0.0,56.468741375278896,56.468741375278896,0.0,56.468741375278896,0.0,0.0,93.85113268603695
21,0.1543,0.251,0.105,41.35027979694282,41.35027979694282,0.0,0.03415418949006244,1.0,26.372168284790277,93.85113268603712,58.0,0.6179999999651677,0.2809999999936671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,41.35027979694282,1.0,-16.649720203057186,41.97871212171947,0.0,0.0,0.0,41.97871212171947,93.85113268603712,-26.372168284790277,0.0,26.372168284790277,0.0,41.35027979694282,41.35027979694282,0.0,41.35027979694282,0.0,0.0,93.85113268603712
22,0.1543,0.251,0.105,43.2225494389218,43.2225494389218,0.0,0.03415418949006244,1.0,26.372168284788682,93.85113268603713,58.0,0.6179999999651684,0.2809999999936672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,43.2225494389218,1.0,-14.777450561078183,56.756162682797644,0.0,0.0,0.0,56.756162682797644,93.85113268603713,-26.372168284788682,0.0,26.372168284788682,0.0,43.2225494389218,43.2225494389218,0.0,43.2225494389218,0.0,0.0,93.85113268603713
23,0.1543,0.251,0.105,42.595009613430925,42.595009613430925,0.0,0.03415418949006244,1.0,26.37216828478995,93.85113268603715,58.0,0.6179999999651684,0.28099999999366715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,42.595009613430925,1.0,-15.404990386569075,72.16115306936672,0.0,0.0,0.0,72.16115306936672,93.85113268603715,-26.37216828478995,0.0,26.37216828478995,0.0,42.595009613430925,42.595009613430925,0.0,42.595009613430925,0.0,0.0,93.85113268603715
24,0.1543,0.251,0.105,44.758349849559195,44.758349849559195,0.0,0.03415418949006244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.758349849559195,1.0,44.758349849559195,27.402803219807524,0.0,0.0,0.0,27.402803219807524,0.0,0.0,0.0,0.0,0.0,44.758349849559195,44.758349849559195,0.0,44.758349849559195,0.0,0.0,0.0
