Date,Actual Value
2023-03-03,-291.04458471418377
2023-03-16,-343.4859848126252
2023-04-03,-362.7459918300319
2023-04-09,-298.5380047797953
2023-05-14,-193.8371557529807
2023-05-15,-187.42071506654244
2023-06-19,-134.83144974393565
2023-06-22,-124.88182025632857
2023-06-26,-132.98595147685515
2023-07-09,-130.26574229741567
2023-07-10,-124.21277007514983
