Date,EVPI
2023-03-16,13.090080999999998
2023-03-28,8.49266
2023-04-03,13.815971999999988
2023-04-09,11.106301999999971
2023-04-10,-22.108555999999965
2023-05-01,-11.270077000000015
2023-05-15,-19.047083999999984
2023-06-19,-22.673974000000015
2023-06-22,-27.931343
2023-06-26,-21.00045999999999
2023-07-09,-15.966398999999996
2023-07-10,-16.647066000000024
