Date,Total Cost
2023-03-16,-331.488465
2023-03-28,-346.722356
2023-04-03,-357.28579
2023-04-09,-373.473684
2023-04-10,-315.197748
2023-05-01,-275.951056
2023-05-15,-171.030197
2023-06-19,-109.849819
2023-06-22,-109.544017
2023-06-26,-107.806326
2023-07-09,-118.523514
2023-07-10,-127.965791
