Date,Objective Value
2023-03-16,-329.3062367029763
2023-03-28,-344.32944072231527
2023-04-03,-351.2037997501207
2023-04-09,-368.6951598375106
2023-04-10,-354.23423063411843
2023-05-01,-302.86770328283046
2023-05-15,-209.333700866108
2023-06-19,-159.79144826261734
2023-06-22,-149.0043374502092
2023-06-26,-155.3369856265761
2023-07-09,-163.5063458328928
2023-07-10,-146.80682279387156
