Date,Total Cost
2023-03-03,-306.692094
2023-03-16,-336.81774
2023-04-03,-355.360312
2023-04-09,-372.46458
2023-05-14,-160.041338
2023-05-15,-156.286528
2023-06-19,-120.443236
2023-06-22,-120.908183
2023-06-26,-109.147468
2023-07-09,-119.368206
2023-07-10,-118.909542
