Date,Weighted Stochastic Objective Value
2023-03-16,-326.891473
2023-03-28,-339.940569
2023-04-03,-346.039721
2023-04-09,-364.383643
2023-04-10,-342.530242
2023-05-01,-298.840128
2023-05-15,-195.907414
2023-06-19,-150.379228
2023-06-22,-153.941702
2023-06-26,-145.418309
2023-07-09,-152.249089
2023-07-10,-151.313329
