Scenario,ObjectiveValue
Scenario1,-108.7134664909183
Scenario2,-114.39207681385196
Scenario3,-109.12281500075211
Scenario4,-132.5573416360834
Scenario5,-109.35180229905708
Scenario6,-108.02178827030055
Scenario7,-118.46706340893404
Scenario8,-111.38064509307111
Scenario9,-130.6137644163582
Scenario10,-128.65245631693173
