t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,57.22437501319756,320.0,1.0,37.21858864027672,117.03958691910132,68.0,0.5809999999942708,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,78.77562498679956,1.0,0.0,0.0,-78.77562498679958,398.7756249867996,117.03958691910132,-76.10860556074476,0.0,76.10860556074476,0.0,78.77562498679956,136.0,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910132,0.0
2,0.1543,0.251,0.105,27.356842672679825,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.356842672679846,1.0,27.356842672679846,371.41878231411977,0.0,0.0,0.0,0.0,0.0,0.0,27.356842672679825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.356842672679846
3,0.1543,0.251,0.105,152.95681742901291,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,1.6894715751911084e-06,0.000143942978201564,0.0001323005314351212,1.838145073828068e-06,1.6894715751911084e-06,0.0,4.108500035262966e-07,7.992513095800291e-09,84.956673896888,0.9999999920074869,84.956673486038,286.46210882808174,0.0001323005314351212,-38.89001692046804,0.0,38.89001692046804,0.0,4.108500035262966e-07,152.9568178398629,0.0,38.89001692046804,0.0,68.0,0.000143942978201564,0.0001323005314351212,0.0,84.956673896888
4,0.1543,0.251,0.105,98.27238213213492,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.272382132138187,1.0,30.272382132138187,256.18972669594353,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,98.27238213213492,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,30.272382132138187
5,0.1543,0.251,0.105,89.05074191251082,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05074191251409,1.0,21.05074191251409,235.13898478342946,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,89.05074191251082,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,21.05074191251409
6,0.1543,0.251,0.105,79.00001143400678,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046803,115.05922165819486,68.0,0.5910000000035976,0.3380000000033638,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.000011434010048,1.0,11.000011434010048,224.13897334941908,0.0,-38.89001692046803,0.0,38.89001692046803,0.0,0.0,79.00001143400678,0.0,38.89001692046803,0.0,68.0,0.0,0.0,0.0,11.000011434010048
7,0.1543,0.251,0.105,68.46650753186022,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4665075318634919,1.0,0.4665075318634919,223.6724658175556,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,68.46650753186022,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.4665075318634919
8,0.1543,0.251,0.105,65.8012136391328,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198786360864209,1.0,0.0,-0.0,-2.198786360864209,225.8712521784198,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,2.198786360864209,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,68.3708546119235,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.05922165819489,68.0,0.5910000000035975,0.3380000000033639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3708546119267808,1.0,0.3708546119267808,225.50039756649306,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,68.3708546119235,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.3708546119267808
10,0.1543,0.251,0.105,55.311655787459955,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.799363057322736,92.35668789808506,58.0,0.6280000000035855,0.30100000000337596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.688344212540038,1.0,0.0,-0.0,-2.688344212540038,228.1887417790331,0.0,-27.799363057322736,0.0,27.799363057322736,0.0,2.688344212540038,58.0,0.0,27.799363057322736,0.0,58.0,0.0,0.0,0.0,0.0
