Scenario,ObjectiveValue
Scenario1,-124.68805838624756
Scenario2,-99.90747371322207
Scenario3,-160.54076866178752
Scenario4,-118.67206142730544
Scenario5,-128.9386969689762
Scenario6,-130.33112698454426
Scenario7,-141.95649535540514
Scenario8,-141.23853227088634
Scenario9,-110.45407313676712
Scenario10,-118.06494713236009
