Scenario,ObjectiveValue
Scenario1,-362.29670752479103
Scenario2,-356.1597108446994
Scenario3,-364.34607828735346
Scenario4,-355.7236381070593
Scenario5,-362.7653103250257
Scenario6,-356.0007608378315
Scenario7,-366.16226463681886
Scenario8,-359.1494485241442
Scenario9,-360.7148740040342
Scenario10,-359.32584305707417
