t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,143.86359935665112,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8635993566540066,1.0,7.863599356653992,312.136400643346,117.03958691910134,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,143.86359935665112,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910134,7.8635993566540066
2,0.1543,0.251,0.105,153.47150339313947,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.471503393138413,1.0,17.471503393138413,294.6648972502076,117.03958691910508,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,153.47150339313947,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910134,17.471503393138413
3,0.1543,0.251,0.105,243.32182232623887,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,107.32182232624177,99.27377480991284,1.083764966449073,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,294.6648972502076,216.31336172901416,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,243.32182232623887,37.21858864027672,38.89001692046804,68.0,68.0,107.32182232624177,99.27377480991284,117.03958691910134,0.0
4,0.1543,0.251,0.105,390.8143827386307,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.317999999996065,1.0,0.0,1.0,38.89001692046736,115.05922165820232,68.0,0.5910000000035853,0.3380000000001399,1.0,0.0,1.0,174.0,162.46498599439482,1.07100000000252,1.0,0.0,0.0,0.0,80.81438273863068,1.0,80.81438273863068,213.85051451157693,279.5045729134952,-76.10860556074365,0.0,76.10860556074365,0.0,0.0,390.8143827386307,37.218588640276295,38.89001692046736,68.0,68.0,174.0,162.46498599439482,117.0395869191004,80.81438273863068
5,0.1543,0.251,0.105,233.74618602994047,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,97.74618602994337,90.19890089260535,1.0855981400643553,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,213.85051451157693,207.2384878117067,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,233.74618602994047,37.21858864027672,38.89001692046804,68.0,68.0,97.74618602994337,90.19890089260535,117.03958691910134,0.0
6,0.1543,0.251,0.105,252.03423430405604,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,116.03423430405894,107.53056712823572,1.0820970497416078,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,213.85051451157693,224.57015404733704,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,252.03423430405604,37.21858864027672,38.89001692046804,68.0,68.0,116.03423430405894,107.53056712823572,117.03958691910134,0.0
7,0.1543,0.251,0.105,260.9376995002276,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,124.93769950023051,115.96842144749657,1.080392557530629,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,213.85051451157693,233.0080083665979,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,260.9376995002276,37.21858864027672,38.89001692046804,68.0,68.0,124.93769950023051,115.96842144749657,117.03958691910134,0.0
8,0.1543,0.251,0.105,233.1359468097906,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,97.1359468097935,89.62057441790446,1.0857149651402849,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,213.85051451157693,206.6601613370058,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,233.1359468097906,37.21858864027672,38.89001692046804,68.0,68.0,97.1359468097935,89.62057441790446,117.03958691910134,0.0
9,0.1543,0.251,0.105,211.18775447092054,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,10.012245529076566,1.0,0.0,-0.0,-10.012245529076566,223.86276004065348,195.34841044851015,-76.10860556074476,0.0,76.10860556074476,0.0,10.012245529076566,221.2,37.21858864027672,38.89001692046804,68.0,68.0,85.2,78.30882352940881,117.03958691910134,0.0
10,0.1543,0.251,0.105,197.08475300642496,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,85.61451121230087,78.70165768398033,1.0879206453785435,1.0,0.0,24.529758205873037,1.0,0.0,0.0,-24.529758205873037,248.39251824652652,195.74124460308167,-76.10860556074476,0.0,76.10860556074476,0.0,24.529758205873037,221.614511212298,37.21858864027672,38.89001692046804,68.0,68.0,85.61451121230087,78.70165768398033,117.03958691910134,0.0
