Scenario,ObjectiveValue
Scenario1,-184.72839938499763
Scenario2,-169.77030564809013
Scenario3,-152.71788052538892
Scenario4,-175.8313310827418
Scenario5,-174.11770319522498
Scenario6,-172.13340374810352
Scenario7,-175.23305077843693
Scenario8,-168.64731691237307
Scenario9,-176.58088383700525
Scenario10,-169.26289417834062
