Scenario,ObjectiveValue
Scenario1,-64.8835585538779
Scenario2,-109.0666057495785
Scenario3,-168.3068717474153
Scenario4,-146.59026533362902
Scenario5,-134.58684344311263
Scenario6,-105.88624039422571
Scenario7,-125.46669479276999
Scenario8,-113.5347187121244
Scenario9,-123.41749622700621
Scenario10,-104.57520950473815
