Scenario,ObjectiveValue
Scenario1,-345.85658239471934
Scenario2,-342.36225110439074
Scenario3,-340.21659512276966
Scenario4,-338.1979485244772
Scenario5,-340.9250509333086
Scenario6,-339.09805254269526
Scenario7,-339.50393788151086
Scenario8,-341.7149737608676
Scenario9,-345.6977325660066
Scenario10,-335.3008213440871
