Scenario,ObjectiveValue
Scenario1,-193.02630435611727
Scenario2,-168.87230027841034
Scenario3,-169.76395402323735
Scenario4,-169.61535852101042
Scenario5,-163.36894242981737
Scenario6,-164.29291309896385
Scenario7,-161.91182105950196
Scenario8,-164.61388203897206
Scenario9,-196.04327646655338
Scenario10,-162.15752791290214
