Scenario,ObjectiveValue
Scenario1,-292.85793450472994
Scenario2,-255.9896622126307
Scenario3,-283.7697442077716
Scenario4,-293.3513128582599
Scenario5,-264.2329109693677
Scenario6,-299.4756376172716
Scenario7,-280.4163297978927
Scenario8,-271.8908189480629
Scenario9,-277.09933010348743
Scenario10,-278.06843084164893
