Scenario,ObjectiveValue
Scenario1,-101.17797139765781
Scenario2,-134.51330089055796
Scenario3,-127.10633520521151
Scenario4,-117.00766831406722
Scenario5,-109.01804348651058
Scenario6,-131.00428780090914
Scenario7,-107.19890938772926
Scenario8,-125.27926550677664
Scenario9,-123.86806563907088
Scenario10,-140.57796672456658
