t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,26.07156058185671,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.071560581856744,1.0,26.071560581856716,293.9284394181433,0.0,0.0,0.0,0.0,0.0,0.0,26.07156058185671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.071560581856744
2,0.1543,0.251,0.105,38.163204194607594,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.79936305732275,92.35668789808506,58.0,0.6280000000035855,0.30100000000337596,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,19.836795805392406,1.0,0.0,-0.0,-19.836795805392406,313.7652352235357,0.0,-27.79936305732275,0.0,27.79936305732275,0.0,19.836795805392406,58.0,0.0,27.79936305732275,0.0,58.0,0.0,0.0,0.0,0.0
3,0.1543,0.251,0.105,97.17305273572259,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.173052735725875,1.0,29.173052735725875,284.5921824878098,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,97.17305273572259,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,29.173052735725875
4,0.1543,0.251,0.105,50.86209083726154,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.79936305732275,92.35668789808506,58.0,0.6280000000035855,0.30100000000337596,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,7.13790916273846,1.0,0.0,-0.0,-7.13790916273846,291.7300916505483,0.0,-27.79936305732275,0.0,27.79936305732275,0.0,7.13790916273846,58.0,0.0,27.79936305732275,0.0,58.0,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,73.24370602259141,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243706022594694,1.0,5.243706022594694,286.4863856279536,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,0.0,73.24370602259141,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,5.243706022594694
6,0.1543,0.251,0.105,36.65501854700703,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.79936305732275,92.35668789808506,58.0,0.6280000000035855,0.30100000000337596,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,21.34498145299297,1.0,0.0,-0.0,-21.34498145299297,307.83136708094656,0.0,-27.79936305732275,0.0,27.79936305732275,0.0,21.34498145299297,58.0,0.0,27.79936305732275,0.0,58.0,0.0,0.0,0.0,0.0
7,0.1543,0.251,0.105,27.82299978481806,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82299978481808,1.0,27.82299978481808,280.0083672961285,0.0,0.0,0.0,0.0,0.0,0.0,27.82299978481806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82299978481808
8,0.1543,0.251,0.105,47.87096019988247,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.799363057322722,92.35668789808503,58.0,0.6280000000035855,0.30100000000337584,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,10.129039800117509,1.0,0.0,-0.0,-10.129039800117509,290.13740709624597,0.0,-27.799363057322722,0.0,27.799363057322722,0.0,10.129039800117509,58.0,0.0,27.799363057322722,0.0,58.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,50.21788168913221,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,17.782118310864504,1.0,0.0,-0.0,-17.782118310864504,307.9195254071105,0.0,-38.89001692046804,0.0,38.89001692046804,0.0,17.782118310864504,68.0,0.0,38.89001692046804,0.0,68.0,0.0,0.0,0.0,0.0
10,0.1543,0.251,0.105,8.938516182270618,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938516182270618,1.0,8.938516182270618,298.98100922483985,0.0,0.0,0.0,0.0,0.0,0.0,8.938516182270618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938516182270618
