Scenario,ObjectiveValue
Scenario1,-373.56727275956257
Scenario2,-376.06594969900675
Scenario3,-378.6281246204922
Scenario4,-381.388052031211
Scenario5,-375.90658619984595
Scenario6,-372.70667638934106
Scenario7,-378.28988900090894
Scenario8,-374.752186270714
Scenario9,-376.051869142951
Scenario10,-376.6792364385837
