Scenario,ObjectiveValue
Scenario1,-133.84092841376463
Scenario2,-132.4274609025329
Scenario3,-134.53499699192622
Scenario4,-144.17516693116139
Scenario5,-129.64993657675666
Scenario6,-126.98506572755048
Scenario7,-118.27097342093013
Scenario8,-136.269156363435
Scenario9,-120.4842786228806
Scenario10,-142.22129764126214
