Scenario,ObjectiveValue
Scenario1,-348.69492887923246
Scenario2,-340.26287355818914
Scenario3,-345.5118613215239
Scenario4,-349.1792400211803
Scenario5,-352.59067283193235
Scenario6,-352.2683697629497
Scenario7,-353.8120758314063
Scenario8,-342.2306247710426
Scenario9,-347.52669084491333
Scenario10,-351.4890069001941
