Scenario,ObjectiveValue
Scenario1,-312.5367417776465
Scenario2,-306.2363906068754
Scenario3,-311.7281678389184
Scenario4,-309.23241573183054
Scenario5,-307.0596273346253
Scenario6,-311.1793418124352
Scenario7,-308.1890729948399
Scenario8,-305.5844524761194
Scenario9,-313.65926519471554
Scenario10,-307.99908140160676
