Scenario,ObjectiveValue
Scenario1,-311.6792701270578
Scenario2,-295.24678727285766
Scenario3,-317.71162626396404
Scenario4,-325.0723243164924
Scenario5,-317.7622332978257
Scenario6,-308.9885225302178
Scenario7,-323.34685428180234
Scenario8,-332.5180463202849
Scenario9,-311.2048456593526
Scenario10,-320.4907509972463
