Scenario,ObjectiveValue
Scenario1,-115.79991236218207
Scenario2,-125.2738754147073
Scenario3,-98.0269803160276
Scenario4,-106.03445229578874
Scenario5,-110.52131413374447
Scenario6,-109.61576138747851
Scenario7,-117.03803729400363
Scenario8,-136.10148198074634
Scenario9,-112.07935001377426
Scenario10,-112.68776316332841
