Date,Weighted Stochastic Objective Value
2023-03-16,-326.939252
2023-03-28,-339.929667
2023-04-03,-346.316063
2023-04-09,-364.968877
2023-04-10,-335.681327
2023-05-01,-296.029076
2023-05-15,-203.325444
2023-06-19,-155.035194
2023-06-22,-143.983872
2023-06-26,-149.642351
2023-07-09,-156.932986
2023-07-10,-140.903837
