t  ,Scenario3.GAS_PRICE ,Scenario3.POWER_PRICE ,Scenario3.HEAT_PRICE ,Scenario3.heat_demand ,Scenario3.heat_demand_scenario ,Scenario3.delta_heat_demand ,Scenario3.probability ,Scenario3.chp1.bin ,Scenario3.chp1.power ,Scenario3.chp1.gas ,Scenario3.chp1.heat ,Scenario3.chp1.eta_th ,Scenario3.chp1.eta_el ,Scenario3.chp1.y1 ,Scenario3.chp1.y2 ,Scenario3.boiler1.bin ,Scenario3.boiler1.heat ,Scenario3.boiler1.gas ,Scenario3.boiler1.eta_th ,Scenario3.boiler1.y1 ,Scenario3.boiler1.y2 ,Scenario3.heat_storage1.heat_charge ,Scenario3.heat_storage1.bin_charge ,Scenario3.heat_storage1.heat_discharge ,Scenario3.heat_storage1.bin_discharge ,Scenario3.heat_storage1.heat_balance ,Scenario3.heat_storage1.heat_capacity ,Scenario3.heat_storage1.dispatch ,Scenario3.heat_storage1.dispatch_delta_heat_charge ,Scenario3.heat_storage1.dispatch_delta_heat_discharge ,Scenario3.heat_storage1.dispatch_heat_capacity ,Scenario3.ngas_grid.gas_balance ,Scenario3.power_grid.power_balance ,Scenario3.power_grid.power_supply ,Scenario3.power_grid.power_feedin ,Scenario3.heat_grid.heat_balance ,Scenario3.heat_grid.heat_supply ,Scenario3.heat_grid.heat_feedin ,Scenario3.heat_grid.dispatch_heat_feedin ,Scenario3.arc03_expanded.heat ,Scenario3.arc04_expanded.heat ,Scenario3.arc05_expanded.gas ,Scenario3.arc06_expanded.gas
 1 ,             0.1543 ,                0.251 ,               0.105 ,   34.75608232852915  ,            35.15608232852915  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.37216828479055  , 93.8511326860359  ,               58.0 ,   0.6179999999651684 ,  0.28099999972619116 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    34.75608232852915  ,                                  1.0 ,-23.243917671470847                  ,                   23.243917671470847 ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            22.44391767147085  ,              93.8511326860359  ,-26.37216828479055                 ,                              0.0 ,               26.37216828479055  ,                             0.0 ,             34.75608232852915  ,             34.75608232852915  ,-0.4                                     ,           34.75608232852915  ,                          0.0 ,                         0.0 ,           93.8511326860359
 2 ,             0.1543 ,                0.251 ,               0.105 ,   41.068051654604375 ,            41.46805165460437  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.37216828479088  , 93.85113268603715 ,               58.0 ,   0.6179999999651684 ,  0.28099999999366715 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    41.068051654604375 ,                                  1.0 ,-16.931948345395625                  ,                   40.17586601686648  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            38.575866016866485 ,              93.85113268603715 ,-26.37216828479088                 ,                              0.0 ,               26.37216828479088  ,                             0.0 ,             41.068051654604375 ,             41.068051654604375 ,-0.4                                     ,           41.068051654604375 ,                          0.0 ,                         0.0 ,           93.85113268603715
 3 ,             0.1543 ,                0.251 ,               0.105 ,   78.84327203901185  ,            79.24327203901186  ,-0.4000000000000057         ,  0.03415418949006244 ,               1.0 ,  26.37216828479088  , 93.85113268603715 ,               58.0 ,   0.6179999999651684 ,  0.28099999999366715 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    78.84327203901185  ,                                  1.0 ,20.84327203901185                    ,                   19.33259397785463  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            16.932593977854623 ,              93.85113268603715 ,-26.37216828479088                 ,                              0.0 ,               26.37216828479088  ,                             0.0 ,             78.84327203901185  ,             78.84327203901185  ,-0.4                                     ,           78.84327203901185  ,                          0.0 ,                         0.0 ,           93.85113268603715
 4 ,             0.1543 ,                0.251 ,               0.105 ,   52.564441701003695 ,            52.96444170100369  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    52.564441701003695 ,                                  1.0 ,-5.435558298996362                   ,                   24.76815227685099  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            21.568152276850988 ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             52.564441701003695 ,             52.564441701003695 ,-0.4                                     ,           52.564441701003695 ,                          0.0 ,                         0.0 ,           93.85113268603695
 5 ,             0.1543 ,                0.251 ,               0.105 ,   53.74511470823451  ,            54.14511470823451  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    53.74511470823451  ,                                  1.0 ,-4.254885291765547                   ,                   29.023037568616537 ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            25.023037568616537 ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             53.74511470823451  ,             53.74511470823451  ,-0.4                                     ,           53.74511470823451  ,                          0.0 ,                         0.0 ,           93.85113268603695
 6 ,             0.1543 ,                0.251 ,               0.105 ,   53.34195365379194  ,            53.74195365379194  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788682 , 93.85113268603703 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366704 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    53.34195365379194  ,                                  1.0 ,-4.658046346208032                   ,                   33.68108391482457  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            28.881083914824572 ,              93.85113268603703 ,-26.372168284788682                ,                              0.0 ,               26.372168284788682 ,                             0.0 ,             53.34195365379194  ,             53.34195365379194  ,-0.4                                     ,           53.34195365379194  ,                          0.0 ,                         0.0 ,           93.85113268603703
 7 ,             0.1543 ,                0.251 ,               0.105 ,   59.46833116306642  ,            59.86833116306642  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.37216828478878  , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    59.46833116306642  ,                                  1.0 ,1.4683311630663596                   ,                   32.21275275175821  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            26.612752751758215 ,              93.85113268603698 ,-26.37216828478878                 ,                              0.0 ,               26.37216828478878  ,                             0.0 ,             59.46833116306642  ,             59.46833116306642  ,-0.4                                     ,           59.46833116306642  ,                          0.0 ,                         0.0 ,           93.85113268603698
 8 ,             0.1543 ,                0.251 ,               0.105 ,   62.30645178375323  ,            62.70645178375323  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    62.30645178375323  ,                                  1.0 ,4.306451783753175                    ,                   27.906300968005034 ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            21.506300968005043 ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             62.30645178375323  ,             62.30645178375323  ,-0.4                                     ,           62.30645178375323  ,                          0.0 ,                         0.0 ,           93.85113268603695
 9 ,             0.1543 ,                0.251 ,               0.105 ,   59.76534098525209  ,            60.16534098525209  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.2809999999936669  ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    59.76534098525209  ,                                  1.0 ,1.765340985252017                    ,                   26.140959982753024 ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            18.940959982753036 ,              93.85113268603698 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             59.76534098525209  ,             59.76534098525209  ,-0.4                                     ,           59.76534098525209  ,                          0.0 ,                         0.0 ,           93.85113268603698
10 ,             0.1543 ,                0.251 ,               0.105 ,   53.0111979932729   ,            53.4111979932729   ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    53.0111979932729   ,                                  1.0 ,-4.9888020067271555                  ,                   31.12976198948018  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            23.129761989480194 ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             53.0111979932729   ,             53.0111979932729   ,-0.4                                     ,           53.0111979932729   ,                          0.0 ,                         0.0 ,           93.85113268603695
11 ,             0.1543 ,                0.251 ,               0.105 ,   51.275253360489316 ,            51.67525336048932  ,-0.4000000000000057         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603695 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    51.275253360489316 ,                                  1.0 ,-6.724746639510741                   ,                   37.85450862899092  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            29.05450862899093  ,              93.85113268603695 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             51.275253360489316 ,             51.275253360489316 ,-0.4                                     ,           51.275253360489316 ,                          0.0 ,                         0.0 ,           93.85113268603695
12 ,             0.1543 ,                0.251 ,               0.105 ,   49.55406296700416  ,            49.95406296700416  ,-0.4000000000000057         ,  0.03415418949006244 ,               1.0 ,  26.37216828478878  , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.28099999999366687 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    49.55406296700416  ,                                  1.0 ,-8.445937032995907                   ,                   46.30044566198683  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            36.70044566198683  ,              93.85113268603698 ,-26.37216828478878                 ,                              0.0 ,               26.37216828478878  ,                             0.0 ,             49.55406296700416  ,             49.55406296700416  ,-0.4                                     ,           49.55406296700416  ,                          0.0 ,                         0.0 ,           93.85113268603698
13 ,             0.1543 ,                0.251 ,               0.105 ,   48.098443142420464 ,            48.49844314242046  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284790284 , 93.8511326860371  ,               58.0 ,   0.6179999999651683 ,  0.2809999999936671  ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    48.098443142420464 ,                                  1.0 ,-9.90155685757955                    ,                   56.20200251956638  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            45.80200251956638  ,              93.8511326860371  ,-26.372168284790284                ,                              0.0 ,               26.372168284790284 ,                             0.0 ,             48.098443142420464 ,             48.098443142420464 ,-0.4                                     ,           48.098443142420464 ,                          0.0 ,                         0.0 ,           93.8511326860371
14 ,             0.1543 ,                0.251 ,               0.105 ,   51.69024271601968  ,            52.09024271601968  ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788778 , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.2809999999936669  ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    51.69024271601968  ,                                  1.0 ,-6.309757283980389                   ,                   62.51175980354676  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            51.311759803546764 ,              93.85113268603698 ,-26.372168284788778                ,                              0.0 ,               26.372168284788778 ,                             0.0 ,             51.69024271601968  ,             51.69024271601968  ,-0.4                                     ,           51.69024271601968  ,                          0.0 ,                         0.0 ,           93.85113268603698
15 ,             0.1543 ,                0.251 ,               0.105 ,   57.93911921665968  ,            58.339119216659675 ,-0.3999999999999986         ,  0.03415418949006244 ,               1.0 ,  26.372168284788682 , 93.85113268603703 ,               58.0 ,   0.6179999999651682 ,  0.28099999999366704 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    57.93911921665968  ,                                  1.0 ,-0.0608807833402949                  ,                   62.57264058688705  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            50.57264058688706  ,              93.85113268603703 ,-26.372168284788682                ,                              0.0 ,               26.372168284788682 ,                             0.0 ,             57.93911921665968  ,             57.93911921665968  ,-0.4                                     ,           57.93911921665968  ,                          0.0 ,                         0.0 ,           93.85113268603703
16 ,             0.1543 ,                0.251 ,               0.105 ,   66.62661431513905  ,            67.02661431513906  ,-0.4000000000000057         ,  0.03415418949006244 ,               1.0 ,  26.372168284788795 , 93.85113268603698 ,               58.0 ,   0.617999999965168  ,  0.2809999999936669  ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    66.62661431513905  ,                                  1.0 ,8.62661431513898                     ,                   53.94602627174807  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            41.14602627174807  ,              93.85113268603698 ,-26.372168284788795                ,                              0.0 ,               26.372168284788795 ,                             0.0 ,             66.62661431513905  ,             66.62661431513905  ,-0.4                                     ,           66.62661431513905  ,                          0.0 ,                         0.0 ,           93.85113268603698
17 ,             0.1543 ,                0.251 ,               0.105 ,   67.86376185679535  ,            68.26376185679536  ,-0.4000000000000057         ,  0.03415418949006244 ,               1.0 ,  26.372168284788682 , 93.85113268603703 ,               58.0 ,   0.6179999999651684 ,  0.28099999999366704 ,              1.0 ,              0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                     0.0 ,                 0.0 ,                 0.0 ,                               58.0 ,                               1.0 ,                    67.86376185679535  ,                                  1.0 ,9.863761856795378                    ,                   44.08226441495269  ,-0.4                             ,                                               0.0 ,                                                  0.4 ,                            30.48226441495268  ,              93.85113268603703 ,-26.372168284788682                ,                              0.0 ,               26.372168284788682 ,                             0.0 ,             67.86376185679535  ,             67.86376185679535  ,-0.4                                     ,           67.86376185679535  ,                          0.0 ,                         0.0 ,           93.85113268603703
