t,Scenario10.GAS_PRICE,Scenario10.POWER_PRICE,Scenario10.HEAT_PRICE,Scenario10.heat_demand,Scenario10.heat_demand_scenario,Scenario10.delta_heat_demand,Scenario10.probability,Scenario10.chp1.bin,Scenario10.chp1.power,Scenario10.chp1.gas,Scenario10.chp1.heat,Scenario10.chp1.eta_th,Scenario10.chp1.eta_el,Scenario10.chp1.y1,Scenario10.chp1.y2,Scenario10.boiler1.bin,Scenario10.boiler1.heat,Scenario10.boiler1.gas,Scenario10.boiler1.eta_th,Scenario10.boiler1.y1,Scenario10.boiler1.y2,Scenario10.heat_storage1.heat_charge,Scenario10.heat_storage1.bin_charge,Scenario10.heat_storage1.heat_discharge,Scenario10.heat_storage1.bin_discharge,Scenario10.heat_storage1.heat_balance,Scenario10.heat_storage1.heat_capacity,Scenario10.heat_storage1.x_positiv,Scenario10.ngas_grid.gas_balance,Scenario10.power_grid.power_balance,Scenario10.power_grid.power_supply,Scenario10.power_grid.power_feedin,Scenario10.heat_grid.heat_balance,Scenario10.heat_grid.heat_supply,Scenario10.heat_grid.heat_feedin,Scenario10.arc03_expanded.heat,Scenario10.arc04_expanded.heat,Scenario10.arc05_expanded.gas,Scenario10.arc06_expanded.gas
12,0.1543,0.251,0.105,123.8851574175104,88.67505124199614,-35.210106175514255,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.8851574175104,114.9709225453048,1.080594057689571,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,114.9709225453048,0.0,0.0,0.0,0.0,123.8851574175104,123.8851574175104,0.0,123.8851574175104,114.9709225453048,0.0
13,0.1543,0.251,0.105,120.24610785605115,105.82895786818679,-14.417149987864363,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.24610785605115,111.52217878277891,1.0812907225830934,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,111.52217878277891,0.0,0.0,0.0,0.0,120.24610785605115,120.24610785605115,0.0,120.24610785605115,111.52217878277891,0.0
14,0.1543,0.251,0.105,129.2256067900492,94.99883401423591,-34.22677277581329,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.2256067900492,120.03209061998282,1.079571674363747,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,120.03209061998282,0.0,0.0,0.0,0.0,129.2256067900492,129.2256067900492,0.0,129.2256067900492,120.03209061998282,0.0
15,0.1543,0.251,0.105,144.84779804164918,156.00770585575472,11.159907814105537,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.84779804164918,134.8373120730091,1.076580939552067,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,11.159907814105537,134.8373120730091,0.0,0.0,0.0,0.0,144.84779804164918,144.84779804164918,0.0,144.84779804164918,134.8373120730091,0.0
16,0.1543,0.251,0.105,166.56653578784764,154.26296054959386,-12.303575238253785,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.56653578784764,155.4202582701206,1.072423073091646,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,155.4202582701206,0.0,0.0,0.0,0.0,166.56653578784764,166.56653578784764,0.0,166.56653578784764,155.4202582701206,0.0
17,0.1543,0.251,0.105,169.65940464198837,162.38762462254167,-7.271780019446709,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.65940464198837,158.35138410088592,1.07183096982002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,0.0,158.35138410088592,0.0,0.0,0.0,0.0,169.65940464198837,169.65940464198837,0.0,169.65940464198837,158.35138410088592,0.0
18,0.1543,0.251,0.105,180.98217387350823,176.63372345620172,-4.348450417306509,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,6.982173873508231,1.0,6.982173873508231,27.909646028961753,0.0,162.46498599439482,0.0,0.0,0.0,0.0,180.98217387350823,180.98217387350823,6.982173873508231,174.0,162.46498599439482,0.0
19,0.1543,0.251,0.105,159.72915392902087,209.89787510819605,50.16872117917518,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.72915392902087,148.9404404936952,1.0737320313303853,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.909646028961753,50.16872117917518,148.9404404936952,0.0,0.0,0.0,0.0,159.72915392902087,159.72915392902087,0.0,159.72915392902087,148.9404404936952,0.0
20,0.1543,0.251,0.105,141.17185343819725,135.41598450930172,-5.755868928895524,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.95808203313328,130.20330605025788,1.0775170338329765,1.0,0.0,0.0,1.0,1.2137714050639659,1.0,1.2137714050639659,26.695874623897808,0.0,130.20330605025788,0.0,0.0,0.0,0.0,141.17185343819725,141.17185343819725,1.2137714050639659,139.95808203313328,130.20330605025788,0.0
21,0.1543,0.251,0.105,103.37569949235706,119.79637483559449,16.420675343237434,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.37569949235706,95.53401631537238,1.0845204178779448,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.695874623897808,16.420675343237434,95.53401631537238,0.0,0.0,0.0,0.0,103.37569949235706,103.37569949235706,0.0,103.37569949235706,95.53401631537238,0.0
22,0.1543,0.251,0.105,108.05637359730451,88.74291488527973,-19.313458712024783,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.05637359730451,99.96991237867881,1.083624342880376,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.695874623897808,0.0,99.96991237867881,0.0,0.0,0.0,0.0,108.05637359730451,108.05637359730451,0.0,108.05637359730451,99.96991237867881,0.0
23,0.1543,0.251,0.105,106.48752403357732,65.21602519334516,-41.271498840232155,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.48752403357732,98.48310653669516,1.0839246857022609,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.695874623897808,0.0,98.48310653669516,0.0,0.0,0.0,0.0,106.48752403357732,106.48752403357732,0.0,106.48752403357732,98.48310653669516,0.0
24,0.1543,0.251,0.105,111.895874623898,73.04324947358121,-38.85262515031678,0.00550321457158042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.308823529409,1.0879999999879681,1.0,0.0,0.0,1.0,26.695874623897808,1.0,26.695874623897808,0.0,0.0,78.308823529409,0.0,0.0,0.0,0.0,111.895874623898,111.895874623898,26.695874623897808,85.2,78.308823529409,0.0
