t,heat_demand
1,79.26
2,88.85
3,166.62
4,113.14
5,118.94
6,124.61
7,125.94
8,118.99
9,113.1
10,103.57
11,95.2
12,89.24
13,89.44
14,96.07
15,94.83
16,108.25
17,109.84
18,113.12
19,102.27
20,99.65
21,74.5
22,71.97
23,79.7
24,84.06
