t,heat_demand
1,115.1
2,138.89
3,275.27
4,191.27
5,207.09
6,203.75
7,200.26
8,187.72
9,183.58
10,165.75
11,156.18
12,143.39
13,152.36
14,171.44
15,181.67
16,192.25
17,201.56
18,220.13
19,204.51
20,180.92
21,125.16
22,135.78
23,133.41
24,137.07
