t,heat_demand
1,57.55
2,69.445
3,137.635
4,95.635
5,103.545
6,101.875
7,100.13
8,93.86
9,91.79
10,82.875
11,78.09
12,71.695
13,76.18
14,85.72
15,90.835
16,96.125
17,100.78
18,110.065
19,102.255
20,90.46
21,62.58
22,67.89
23,66.705
24,68.535
