t,heat_demand
1,22.91
2,25.805
3,48.515
4,33.05
5,34.82
6,36.49
7,36.885
8,34.825
9,33.04
10,30.18
11,27.69
12,25.925
13,25.97
14,27.8
15,27.2
16,30.865
17,31.14
18,31.935
19,28.795
20,28.065
21,20.9
22,20.04
23,21.95
24,22.83
