Scenario,ObjectiveValue,Probability
Scenario1,-201.8773729981074,0.24225659120475396
Scenario2,-201.1000396556912,0.08586151413300828
Scenario3,-200.65023984640388,0.06343798694677062
Scenario4,-201.6864741156242,0.061311927729860556
Scenario5,-200.58922583033996,0.06683608080805566
Scenario6,-200.84136128589432,0.06838432206484994
Scenario7,-201.28684817197112,0.13669404080743308
Scenario8,-200.20327427652705,0.06514525273820751
Scenario9,-200.87544758092687,0.08345230394166414
Scenario10,-200.6717366814161,0.12661997962539634
