Scenario,ObjectiveValue,Probability
Scenario1,-152.07986846088167,0.1574753769257407
Scenario2,-150.89894657838997,0.055415307772885544
Scenario3,-151.7718266632246,0.13418218578064534
Scenario4,-150.45764550598136,0.1157400783652723
Scenario5,-150.8118717283234,0.06909124081577994
Scenario6,-151.19689283162168,0.09183201846543367
Scenario7,-151.38080054873896,0.11058006157606222
Scenario8,-151.82937917111127,0.06634131687910204
Scenario9,-151.39227254718588,0.13008594677229718
Scenario10,-150.34792301321482,0.06925646664678124
