Scenario,ObjectiveValue,Probability
Scenario1,-153.26313242149047,0.0630221750342683
Scenario2,-152.23227403337964,0.0831711120722091
Scenario3,-151.9032393775771,0.1338636437770138
Scenario4,-151.94171293173233,0.07707507850805319
Scenario5,-152.88151268056393,0.07790786730469906
Scenario6,-151.52223229211745,0.12106410721292796
Scenario7,-151.36527893788016,0.07874433377609001
Scenario8,-152.98675510243945,0.16507090538704025
Scenario9,-151.97586206958286,0.14504415948867236
Scenario10,-152.86071615854286,0.05503661743902599
