Scenario,ObjectiveValue,Probability
Scenario1,-143.3300944529637,0.008036180089529386
Scenario2,-144.55337456633967,0.0014150787183601948
Scenario3,-143.70403216300755,0.00025199017898081195
Scenario4,-144.68899948188803,0.03191007496515986
Scenario5,-145.9488232649479,0.35908720383098014
Scenario6,-145.2985651241542,0.5072789273313186
Scenario7,-144.0116319523483,0.0014208948312983496
Scenario8,-143.78064079623113,0.00025020320779247843
Scenario9,-143.23755052604608,1.5738881879409976e-05
Scenario10,-144.47065143794393,0.09033370796470068
